排名,电影名称,豆瓣评分,导演,主演,电影类型,上映时间,片长,alt,图片地址
159,三块广告牌,8.70,马丁·麦克唐纳,"弗兰西斯·麦克多蒙德,伍迪·哈里森,山姆·洛克威尔","剧情,犯罪","2017-09-04(威尼斯电影节),2017-12-01(美国),2018-03-02(中国大陆)",115分钟,https://movie.douban.com/subject/26611804/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2510081688.jpg
160,雨人,8.70,巴瑞·莱文森,"达斯汀·霍夫曼,汤姆·克鲁斯,瓦莱丽亚·戈利诺",剧情,1988-12-16(美国),133分钟,https://movie.douban.com/subject/1291870/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p942376281.jpg
161,被解救的姜戈,8.70,昆汀·塔伦蒂诺,"杰米·福克斯,莱昂纳多·迪卡普里奥,克里斯托弗·沃尔兹","剧情,动作,西部","2012-12-25(美国),2013-05-12(中国大陆)","163分钟(中国大陆),165分钟(美国)",https://movie.douban.com/subject/6307447/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1959232369.jpg
162,花样年华,8.60,王家卫,"梁朝伟,张曼玉,潘迪华","剧情,爱情","2000-05-20(戛纳电影节),2000-09-29(中国香港)",98 分钟,https://movie.douban.com/subject/1291557/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910828286.jpg
163,卢旺达饭店,8.90,特瑞·乔治,"唐·钱德尔,苏菲·奥康内多,杰昆·菲尼克斯","剧情,历史,战争",2004-12-22(美国),121分钟,https://movie.douban.com/subject/1291822/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2159368352.jpg
164,你的名字。,8.40,新海诚,"神木隆之介,上白石萌音,长泽雅美","剧情,爱情,动画","2016-08-26(日本),2016-12-02(中国大陆)",106分钟,https://movie.douban.com/subject/26683290/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg
165,我是山姆,8.90,杰茜·尼尔森,"西恩·潘,达科塔·范宁,米歇尔·菲佛","剧情,家庭",2001-12-03(美国),132 分钟,https://movie.douban.com/subject/1306861/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg
166,哪吒闹海,9.00,"严定宪,王树忱,徐景达","梁正晖,邱岳峰,毕克","冒险,动画,奇幻",1979-05-19(中国大陆),65分钟,https://movie.douban.com/subject/1307315/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2516566783.jpg
167,头脑特工队,8.70,"彼特·道格特,罗纳尔多·德尔·卡门","艾米·波勒,菲利丝·史密斯,理查德·坎德","喜剧,动画,冒险","2015-06-19(美国),2015-10-06(中国大陆)",95分钟,https://movie.douban.com/subject/10533913/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2266293606.jpg
168,海边的曼彻斯特,8.60,肯尼思·洛纳根,"卡西·阿弗莱克,卢卡斯·赫奇斯,米歇尔·威廉姆斯","剧情,家庭","2016-01-23(圣丹斯电影节),2016-11-18(美国),2017-08-25(中国大陆)",137分钟,https://movie.douban.com/subject/25980443/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2496940327.jpg
169,你看起来好像很好吃,8.80,藤森雅也,"山口胜平,爱河里花子,加藤清史郎","剧情,动画,儿童",2010-10-16(日本),90分钟,https://movie.douban.com/subject/4848115/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2554167519.jpg
170,恋恋笔记本,8.50,尼克·卡萨维茨,"瑞恩·高斯林,瑞秋·麦克亚当斯,吉娜·罗兰兹","剧情,爱情",2004-06-25(美国),123分钟,https://movie.douban.com/subject/1309163/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p483604864.jpg
171,无敌破坏王,8.70,瑞奇·摩尔,"约翰·C·赖利,萨拉·西尔弗曼,杰克·麦克布瑞尔","喜剧,动画,奇幻","2012-11-02(美国),2012-11-06(中国大陆)",101分钟,https://movie.douban.com/subject/6534248/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.jpg
172,冰川时代,8.50,"卡洛斯·沙尔丹哈,克里斯·韦奇","雷·罗马诺,约翰·雷吉扎莫,丹尼斯·利瑞","喜剧,动画,冒险",2002-03-15(美国),81 分钟,https://movie.douban.com/subject/1291578/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg
173,二十二,8.70,郭柯,,纪录片,"2015-10-05(釜山电影节),2016-06-25(莫斯科电影节),2017-08-14(中国大陆)","99分钟(公映版),112分钟",https://movie.douban.com/subject/26430107/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2457609817.jpg
174,虎口脱险,8.90,热拉尔·乌里,"路易·德·菲奈斯,布尔维尔,克劳迪奥·布鲁克","喜剧,战争",1966-12-08(法国),"132分钟,101分钟(西德删减版),119分钟(DVD版),122分钟(4K修复版)",https://movie.douban.com/subject/1296909/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.jpg
175,未麻的部屋,8.90,今敏,"岩男润子,松本梨香,辻亲八","动画,奇幻,惊悚","1997-07(加拿大奇幻电影节),1998-02-28(日本)",81 分钟,https://movie.douban.com/subject/1395091/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg
